id,application_area,web_surface,meal_production_step,form_key,source_type,source_file,source_path,context,message_key,message_en,message_fr,message_nl,notes,duplicate_group,duplicate_count
UFM-0001,all,form view,,,system string,src/web/systemStrings.json,$.autosaveNotice.confirm,System UI string autosaveNotice.confirm,autosaveNotice.confirm,OK,,,,D008,35
UFM-0002,all,form view,,,system string,src/web/systemStrings.json,$.autosaveNotice.message,System UI string autosaveNotice.message,autosaveNotice.message,"Changes are saved automatically. In some cases, you may need to tap Save or keep the screen open until saving is complete.",,,,,
UFM-0009,all,form view,,,system string,src/web/systemStrings.json,$.fieldChangeDialog.message,System UI string fieldChangeDialog.message,fieldChangeDialog.message,Review this change before continuing.,,,,,
UFM-0010,all,form view,,,system string,src/web/systemStrings.json,$.fieldChangeDialog.title,System UI string fieldChangeDialog.title,fieldChangeDialog.title,Confirm change,,,,,
UFM-0013,all,form view,,,system string,src/web/systemStrings.json,$.files.clearAllConfirm,System UI string files.clearAllConfirm,files.clearAllConfirm,Remove all photos?,,,,,
UFM-0014,all,form view,,,system string,src/web/systemStrings.json,$.files.discardChangesConfirm,System UI string files.discardChangesConfirm,files.discardChangesConfirm,The photos you changed are not saved yet. Close without saving them?,,,,,
UFM-0078,all,form view,,,system string,src/web/systemStrings.json,$.submit.confirm,System UI string submit.confirm,submit.confirm,Submit,,,,D014,2
UFM-0079,all,form view,,,system string,src/web/systemStrings.json,$.submit.confirmMessage,System UI string submit.confirmMessage,submit.confirmMessage,Are you ready to submit this record?,,,,,
UFM-0080,all,form view,,,system string,src/web/systemStrings.json,$.submit.confirmTitle,System UI string submit.confirmTitle,submit.confirmTitle,Confirm submission,,,,,
UFM-0087,all,form view,,,system string,src/web/systemStrings.json,$.validation.fixErrors,System UI string validation.fixErrors,validation.fixErrors,You are almost done. Some required checks are missing. Review the highlighted sections.,,,,D048,2
UFM-0091,all,form view,,,system string,src/web/systemStrings.json,$.validation.warningsTitle,System UI string validation.warningsTitle,validation.warningsTitle,Warnings,,,,,
UFM-0093,all,form view,,,web app code,src/web/react/components/app/ValidationHeaderNotice.tsx,line 22,missing system-string fallback,src/web/react/components/app/ValidationHeaderNotice.tsx:22:54,Hide,,,Extracted from web app UI code; review if this surface is still active.,D031,2
UFM-0105,all,form view,,,web app code,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx,line 254,nested property aria-label,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx:254:45,Confirmation dialog,,,Extracted from web app UI code; review if this surface is still active.,D201,2
UFM-0106,all,form view,,,web app code,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx,line 295,JSX text,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx:295:58,Required,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0253,all,shared app shell,,,system string,src/web/systemStrings.json,$.bank.utilisationConfirmFailed,System UI string bank.utilisationConfirmFailed,bank.utilisationConfirmFailed,Could not confirm utilisation changes.,,,,,
UFM-0266,all,shared app shell,,,system string,src/web/systemStrings.json,$.common.more,System UI string common.more,common.more,+{count} more,,,,,
UFM-0276,all,shared app shell,,,system string,src/web/systemStrings.json,$.dedupIncompleteHomeDialog.cancelLabel,System UI string dedupIncompleteHomeDialog.cancelLabel,dedupIncompleteHomeDialog.cancelLabel,Cancel and continue editing,,,,,
UFM-0277,all,shared app shell,,,system string,src/web/systemStrings.json,$.dedupIncompleteHomeDialog.confirmLabel,System UI string dedupIncompleteHomeDialog.confirmLabel,dedupIncompleteHomeDialog.confirmLabel,Continue and delete the record,,,,,
UFM-0278,all,shared app shell,,,system string,src/web/systemStrings.json,$.dedupIncompleteHomeDialog.message,System UI string dedupIncompleteHomeDialog.message,dedupIncompleteHomeDialog.message,Some required dedup fields are missing. Continue to leave this page and discard the current record.,,,,,
UFM-0279,all,shared app shell,,,system string,src/web/systemStrings.json,$.dedupIncompleteHomeDialog.title,System UI string dedupIncompleteHomeDialog.title,dedupIncompleteHomeDialog.title,Incomplete record,,,,,
UFM-0287,all,shared app shell,,,system string,src/web/systemStrings.json,$.record.checking,System UI string record.checking,record.checking,Checking for updates…,,,,,
UFM-0288,all,shared app shell,,,system string,src/web/systemStrings.json,$.record.refresh,System UI string record.refresh,record.refresh,Refresh record,,,,,
UFM-0289,all,shared app shell,,,system string,src/web/systemStrings.json,$.record.stale,System UI string record.stale,record.stale,"This record was updated by another user or automatically by the system, tap Refresh to continue.",,,,,
UFM-0290,all,shared app shell,,,system string,src/web/systemStrings.json,$.record.synced,System UI string record.synced,record.synced,The source data changed while you were editing. We loaded the latest version. Please review and adapt your changes as needed.,,,,,
UFM-0291,all,shared app shell,,,system string,src/web/systemStrings.json,$.record.syncedTitle,System UI string record.syncedTitle,record.syncedTitle,Record synchronized,,,,,
UFM-0292,all,shared app shell,,,system string,src/web/systemStrings.json,$.record.syncFailed,System UI string record.syncFailed,record.syncFailed,We could not synchronize the latest record automatically. Tap Refresh to continue.,,,,,
UFM-0293,all,shared app shell,,,system string,src/web/systemStrings.json,$.record.syncing,System UI string record.syncing,record.syncing,This record changed at the source. We are synchronizing the latest version now.,,,,,
UFM-0294,all,shared app shell,,,system string,src/web/systemStrings.json,$.record.syncingTitle,System UI string record.syncingTitle,record.syncingTitle,Synchronizing record…,,,,,
UFM-0360,all,shared app shell,,,web app code,src/web/react/app/copyCurrentRecordDialog.ts,line 26,missing system-string fallback,src/web/react/app/copyCurrentRecordDialog.ts:26:104,Notice,,,Extracted from web app UI code; review if this surface is still active.,D184,11
UFM-0361,all,shared app shell,,,web app code,src/web/react/app/copyCurrentRecordDialog.ts,line 27,missing system-string fallback,src/web/react/app/copyCurrentRecordDialog.ts:27:106,OK,,,Extracted from web app UI code; review if this surface is still active.,D008,35
UFM-0362,all,shared app shell,,,web app code,src/web/react/app/dedupDeleteOnKeyChange.ts,line 312,nested property message,src/web/react/app/dedupDeleteOnKeyChange.ts:312:35,Failed to delete previous record.,,,Extracted from web app UI code; review if this surface is still active.,D192,2
UFM-0363,all,shared app shell,,,web app code,src/web/react/app/dedupDeleteOnKeyChange.ts,line 405,nested property message,src/web/react/app/dedupDeleteOnKeyChange.ts:405:39,Failed to delete previous record.,,,Extracted from web app UI code; review if this surface is still active.,D192,2
UFM-0364,all,shared app shell,,,web app code,src/web/react/app/dedupDialog.ts,line 40,nested property title,src/web/react/app/dedupDialog.ts:40:7,"Creating duplicate record for the same customer, service and date is not allowed.",,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0365,all,shared app shell,,,web app code,src/web/react/app/dedupDialog.ts,line 42,nested property intro,src/web/react/app/dedupDialog.ts:42:57,A meal production record already exists for:,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0366,all,shared app shell,,,web app code,src/web/react/app/dedupDialog.ts,line 43,nested property outro,src/web/react/app/dedupDialog.ts:43:57,What do you want to do?,,,Extracted from web app UI code; review if this surface is still active.,D073,2
UFM-0367,all,shared app shell,,,web app code,src/web/react/app/dedupDialog.ts,line 44,nested property openLabel,src/web/react/app/dedupDialog.ts:44:65,Open existing record,,,Extracted from web app UI code; review if this surface is still active.,D148,2
UFM-0368,all,shared app shell,,,web app code,src/web/react/app/dedupDialog.ts,line 45,nested property changeLabel,src/web/react/app/dedupDialog.ts:45:69,"Change customer, service or date",,,Extracted from web app UI code; review if this surface is still active.,D147,2
UFM-0369,all,shared app shell,,,web app code,src/web/react/app/incompleteOverlayRowGuard.ts,line 102,nested property title,src/web/react/app/incompleteOverlayRowGuard.ts:102:7,Missing multi-ingredient leftover number of portions.,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0370,all,shared app shell,,,web app code,src/web/react/app/incompleteOverlayRowGuard.ts,line 123,nested property confirmLabel,src/web/react/app/incompleteOverlayRowGuard.ts:123:7,Discard incomplete leftover record.,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0371,all,shared app shell,,,web app code,src/web/react/app/incompleteOverlayRowGuard.ts,line 132,nested property cancelLabel,src/web/react/app/incompleteOverlayRowGuard.ts:132:7,Continue editing,,,Extracted from web app UI code; review if this surface is still active.,D142,3
UFM-0380,all,shared app shell,,,web app code,src/web/react/components/app/AppNotices.tsx,line 31,missing system-string fallback,src/web/react/components/app/AppNotices.tsx:31:42,Checking duplicates…,,,Extracted from web app UI code; review if this surface is still active.,D188,3
UFM-0381,all,shared app shell,,,web app code,src/web/react/components/app/AppNotices.tsx,line 56,missing system-string fallback,src/web/react/components/app/AppNotices.tsx:56:59,Duplicate record.,,,Extracted from web app UI code; review if this surface is still active.,D186,3
UFM-0382,all,shared app shell,,,web app code,src/web/react/components/app/AppNotices.tsx,line 71,missing system-string fallback,src/web/react/components/app/AppNotices.tsx:71:52,Open existing,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0383,all,shared app shell,,,web app code,src/web/react/components/app/AppOverlays.tsx,line 152,missing system-string fallback,src/web/react/components/app/AppOverlays.tsx:152:97,Confirm,,,Extracted from web app UI code; review if this surface is still active.,D183,14
UFM-0384,all,shared app shell,,,web app code,src/web/react/components/app/AppOverlays.tsx,line 204,missing system-string fallback,src/web/react/components/app/AppOverlays.tsx:204:91,OK,,,Extracted from web app UI code; review if this surface is still active.,D008,35
UFM-0385,all,shared app shell,,,web app code,src/web/react/components/app/AppOverlays.tsx,line 232,missing system-string fallback,src/web/react/components/app/AppOverlays.tsx:232:92,OK,,,Extracted from web app UI code; review if this surface is still active.,D008,35
UFM-0386,all,shared app shell,,,web app code,src/web/react/components/app/AppOverlays.tsx,line 316,missing system-string fallback,src/web/react/components/app/AppOverlays.tsx:316:93,Confirm,,,Extracted from web app UI code; review if this surface is still active.,D183,14
UFM-0396,all,shared app shell,,,web app code,src/web/react/components/app/useAppAutoSaveDedupConfig.ts,line 52,missing system-string fallback,src/web/react/components/app/useAppAutoSaveDedupConfig.ts:52:64,Duplicate record.,,,Extracted from web app UI code; review if this surface is still active.,D186,3
UFM-0406,all,shared app shell,,,web app code,src/web/react/components/app/useUpdateRecordButtonAction.ts,line 323,nested property confirmLabel,src/web/react/components/app/useUpdateRecordButtonAction.ts:323:63,OK,,,Extracted from web app UI code; review if this surface is still active.,D008,35
UFM-0408,all,shared app shell,,,web app code,src/web/react/components/form/FormStatusNotices.tsx,line 47,nested property aria-label,src/web/react/components/form/FormStatusNotices.tsx:47:23,Status: {expr1},,,Extracted from web app UI code; review if this surface is still active.,D195,3
UFM-0432,all,shared app shell,,,web app code,src/web/react/features/overlays/ConfirmDialogOverlay.tsx,line 129,JSX aria-label,src/web/react/features/overlays/ConfirmDialogOverlay.tsx:129:22,Close dialog,,,Extracted from web app UI code; review if this surface is still active.,D202,2
UFM-0433,all,shared app shell,,,web app code,src/web/react/features/overlays/ConfirmDialogOverlay.tsx,line 130,JSX title,src/web/react/features/overlays/ConfirmDialogOverlay.tsx:130:17,Close,,,Extracted from web app UI code; review if this surface is still active.,D022,3
UFM-0434,all,shared app shell,,,web app code,src/web/react/features/overlays/ConfirmDialogOverlay.tsx,line 155,nested property aria-label,src/web/react/features/overlays/ConfirmDialogOverlay.tsx:155:34,Confirmation dialog,,,Extracted from web app UI code; review if this surface is still active.,D201,2
UFM-0435,all,shared app shell,,,web app code,src/web/react/features/overlays/ConfirmDialogOverlay.tsx,line 184,JSX aria-label,src/web/react/features/overlays/ConfirmDialogOverlay.tsx:184:24,Close dialog,,,Extracted from web app UI code; review if this surface is still active.,D202,2
UFM-0436,all,shared app shell,,,web app code,src/web/react/features/overlays/ConfirmDialogOverlay.tsx,line 185,JSX title,src/web/react/features/overlays/ConfirmDialogOverlay.tsx:185:19,Close,,,Extracted from web app UI code; review if this surface is still active.,D022,3
UFM-0440,customer mgmt,form view,,Config: Distributor,form config,docs/config/exports/staging/config_distributor.json,$.definition.questions[10].button.confirm.cancelLabel,Question RE_OPEN (BUTTON) cancelLabel,definition.questions.10.button.confirm.cancelLabel,No,,,,D030,16
UFM-0441,customer mgmt,form view,,Config: Distributor,form config,docs/config/exports/staging/config_distributor.json,$.definition.questions[10].button.confirm.confirmLabel,Question RE_OPEN (BUTTON) confirmLabel,definition.questions.10.button.confirm.confirmLabel,Yes,,,,D029,17
UFM-0442,customer mgmt,form view,,Config: Distributor,form config,docs/config/exports/staging/config_distributor.json,$.definition.questions[10].button.confirm.message,Question RE_OPEN (BUTTON) message,definition.questions.10.button.confirm.message,"Deactivate Customer?\nThis customer will no longer appear in Meal Production. Do you want to proceed?\n[No, go back] or [Yes, deactivate customer]",,,,,
UFM-0459,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.dedupRules[0].message,Item uniqueIngredientName message,dedupRules.0.message,Duplicate ingredient\nAn ingredient with this name already exists. Change the name or cancel the creation.,,,,,
UFM-0460,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.actionBars.system.home.incompleteFieldsDialog.cancelLabel,incompleteFieldsDialog cancelLabel,form.actionBars.system.home.incompleteFieldsDialog.cancelLabel,"Cancel, continue editing",,,,,
UFM-0461,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.actionBars.system.home.incompleteFieldsDialog.confirmLabel,incompleteFieldsDialog confirmLabel,form.actionBars.system.home.incompleteFieldsDialog.confirmLabel,"Continue, delete the record",,,,,
UFM-0462,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.actionBars.system.home.incompleteFieldsDialog.message,incompleteFieldsDialog message,form.actionBars.system.home.incompleteFieldsDialog.message,A draft ingredient record can only exist when created by and ingredient name are all filled in.\n\nLeaving this page now will permanently delete this record and all data already entered.\n\nThis action cannot be undone.,,,,,
UFM-0463,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.actionBars.system.home.incompleteFieldsDialog.title,incompleteFieldsDialog title,form.actionBars.system.home.incompleteFieldsDialog.title,Missing key information to create a draft ingredient record,,,,,
UFM-0464,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.autoSave.dedupCheckDialog.availableMessage,dedupCheckDialog availableMessage,form.autoSave.dedupCheckDialog.availableMessage,You can continue entering the ingredient details.,,,,,
UFM-0465,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.autoSave.dedupCheckDialog.availableTitle,dedupCheckDialog availableTitle,form.autoSave.dedupCheckDialog.availableTitle,Ingredient name available,,,,,
UFM-0466,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.autoSave.dedupCheckDialog.checkingMessage,dedupCheckDialog checkingMessage,form.autoSave.dedupCheckDialog.checkingMessage,Do not leave this page. Duplicate check is in progress.,,,,,
UFM-0467,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.autoSave.dedupCheckDialog.checkingTitle,dedupCheckDialog checkingTitle,form.autoSave.dedupCheckDialog.checkingTitle,Checking ingredient name,,,,,
UFM-0468,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.autoSave.dedupCheckDialog.duplicateMessage,dedupCheckDialog duplicateMessage,form.autoSave.dedupCheckDialog.duplicateMessage,An ingredient with this name already exists.\nPlease change the name or cancel the creation.,,,,D081,2
UFM-0469,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.autoSave.dedupCheckDialog.duplicateTitle,dedupCheckDialog duplicateTitle,form.autoSave.dedupCheckDialog.duplicateTitle,Ingredient already exists,,,,D080,2
UFM-0471,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.dedupDialog.cancelLabel,dedupDialog cancelLabel,form.dedupDialog.cancelLabel,Cancel,,,,D015,7
UFM-0472,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.dedupDialog.changeLabel,dedupDialog changeLabel,form.dedupDialog.changeLabel,Change name,,,,,
UFM-0473,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.dedupDialog.intro,dedupDialog intro,form.dedupDialog.intro,An ingredient with this name already exists.\nPlease change the name or cancel the creation.,,,,D081,2
UFM-0474,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.dedupDialog.openLabel,dedupDialog openLabel,form.dedupDialog.openLabel,Open existing ingredient,,,,,
UFM-0475,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.dedupDialog.title,dedupDialog title,form.dedupDialog.title,Ingredient already exists,,,,D080,2
UFM-0477,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.submissionConfirmationCancelLabel,form submissionConfirmationCancelLabel,form.submissionConfirmationCancelLabel,"No, continue editing draft ingredient",,,,,
UFM-0478,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.submissionConfirmationConfirmLabel,form submissionConfirmationConfirmLabel,form.submissionConfirmationConfirmLabel,"Yes, activate.",,,,,
UFM-0479,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.submissionConfirmationMessage,form submissionConfirmationMessage,form.submissionConfirmationMessage,Ingredient {INGREDIENT_NAME} will become active and selectable in Recipe management and Meal production on {todayDate}. Do you want to continue?,,,,,
UFM-0480,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.submissionConfirmationTitle,form submissionConfirmationTitle,form.submissionConfirmationTitle,Activate new ingredient?,,,,,
UFM-0482,ingredient mgmt,form view,,Config: Ingredients Management,form config,docs/config/exports/staging/config_ingredients_mgmt.json,$.form.submitValidation.submitTopErrorMessage,submitValidation submitTopErrorMessage,form.submitValidation.submitTopErrorMessage,You are almost done. Some required checks are missing. Review the highlighted sections.,,,,D048,2
UFM-0551,ingredient mgmt,form view,,Config: Leftover Bank,form config,docs/config/exports/staging/config_leftover_bank.json,$.dedupRules[0].message,Item uniqueLeftoverSourceRow message,dedupRules.0.message,This leftover already exists for the source record.,,,,,
UFM-0658,meal production,form view,1. Order,Config: Meal Production,form config,docs/config/exports/staging/config_meal_production.json,$.definition.questions[23].button.confirm.cancelLabel,Question MP_READY_FOR_PRODUCTION (BUTTON) cancelLabel,definition.questions.23.button.confirm.cancelLabel,"No, do not lock order details",,,,,
